,,,,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households by Type of Ccooking Fuel,LPG - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"43,323",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households by Type of Ccooking Fuel,Other - Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"111,789",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households by Type of Ccooking Fuel,Other - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"142,951",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households by Type of Ccooking Fuel,Other - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"31,162",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households by Type of Ccooking Fuel,Straw/Grass - Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"3,946",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households by Type of Ccooking Fuel,Straw/Grass - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"5,047",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households by Type of Ccooking Fuel,Straw/Grass - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"1,101",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of households which have Computer,Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"377,403",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of households which have Internet at home,Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"675,275",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of households which have Landline phone,Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"524,513",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of households which have Mobile phone,Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"3,581,751",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of households which have Radio,Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"3,866,181",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of households which have Television,Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"5,382,990",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households with Type of Toliet,Bucket (Surface latrine) - Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"260,265",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households with Type of Toliet,Bucket (Surface latrine) - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"291,182",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households with Type of Toliet,Bucket (Surface latrine) - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"30,917",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households with Type of Toliet,Flush - Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"70,202",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households with Type of Toliet,Flush - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"228,975",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households with Type of Toliet,Flush - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"158,773",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households with Type of Toliet,None - Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"1,485,102",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households with Type of Toliet,None - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"1,563,213",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households with Type of Toliet,None - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"78,111",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households with Type of Toliet,Other - Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"75,482",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households with Type of Toliet,Other - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"83,880",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households with Type of Toliet,Other - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"8,398",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households with Type of Toliet,Pit (Traditional pit latrine) - Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"738,473",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households with Type of Toliet,Pit (Traditional pit latrine) - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"855,445",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households with Type of Toliet,Pit (Traditional pit latrine) - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"116,972",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households with Type of Toliet,Water seal (Improved pit latrine) - Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"5,198,875",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households with Type of Toliet,Water seal (Improved pit latrine) - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"7,855,137",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Number of Households with Type of Toliet,Water seal (Improved pit latrine) - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"2,656,262",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Percentage of Households with Safe Sanitation,Total,Percent,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Percentage of Households' use of drinking water by source,Improved sources - Rural,Percent,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Percentage of Households' use of drinking water by source,Improved sources - Total,Percent,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Percentage of Households' use of drinking water by source,Improved sources - Urban,Percent,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Percentage of Households' use of drinking water by source,surface water- Rural,Percent,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Percentage of Households' use of drinking water by source,surface water- Total,Percent,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Percentage of Households' use of drinking water by source,surface water- Urban,Percent,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Percentage of Households' use of drinking water by source,Unimproved sources - Rural,Percent,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Percentage of Households' use of drinking water by source,Unimproved sources - Total,Percent,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Percentage of Households' use of drinking water by source,Unimproved sources - Urban,Percent,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Associate Scrutiny Card - Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"11,615",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Associate Scrutiny Card - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"37,429",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Associate Scrutiny Card - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"25,814",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Citizenship Scrutiny Card - Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"18,838,862",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Citizenship Scrutiny Card - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"28,397,519",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Citizenship Scrutiny Card - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"9,558,657",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Foreign Passport - Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"15,222",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Foreign Passport - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"38,646",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Foreign Passport - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"23,424",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Foreign Registration Card - Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"3,860",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Foreign Registration Card - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"14,943",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Foreign Registration Card - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"11,083",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,National Registration Card - Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"420,167",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,National Registration Card - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"692,288",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,National Registration Card - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"272,121",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Naturalised Scrutiny Card - Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"91,438",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Naturalised Scrutiny Card - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"170,352",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Naturalised Scrutiny Card - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"78,914",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,None - Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"8,737,348",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,None - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"11,207,769",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,None - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"2,470,421",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Religious card - Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"127,718",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Religious Card - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"247,765",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Religious card - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"120,047",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Temporary Registration Card - Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"92,524",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Temporary Registration Card - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"181,982",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 10 yr and above by type of identity card,Temporary Registration Card - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"89,458",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,Diploma - Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,"21,021",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,Diploma - Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,"51,356",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,Diploma - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"72,377",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,High School - Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,"1,172,577",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,High School - Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,"1,485,925",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,High School - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"2,658,502",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,Middle School - Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,"2,103,487",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,Middle School - Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,"2,735,953",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,Middle School - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"4,839,440",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,None - Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,"2,698,192",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,None - Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,"1,671,231",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,None - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"4,369,423",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,Other - Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,"199,769",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,Other - Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,"249,021",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,Other - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"448,790",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,Post-graduate and above - Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,"73,005",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,Post-graduate and above - Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,"43,496",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,Post-graduate and above - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"116,501",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,Primary school - Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,"6,861,381",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,Primary school - Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,"5,298,794",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,Primary school - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"12,160,175",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,University/ College - Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,"1,234,067",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,University/ College - Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,"988,277",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,University/ College - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"2,222,344",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,Vocational training - Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,"10,487",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,Vocational training - Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,"25,234",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population 25 yr and over by highest level of educaiton completed,Vocational training - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"35,721",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Did not seek work - Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,"66,609",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Did not seek work - Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,"105,905",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Did not seek work - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"172,514",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Employee (government) - Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,"578,605",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Employee (government) - Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,"776,765",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Employee (government) - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"1,355,370",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Employee (private) - Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,"2,562,625",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Employee (private) - Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,"4,813,683",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Employee (private) - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"7,376,308",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Employer - Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,"268,702",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Employer - Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,"777,280",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Employer - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"1,045,982",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Full time student - Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,"2,878,542",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Full time student - Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,"2,786,807",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Full time student - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"5,665,349",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Household worker - Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,"7,233,494",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Household worker - Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,"268,148",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Household worker - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"7,501,642",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,"Ill, disabled - Female",Number,,,,,,,,,,,,,,,,,,,,,,,,,"150,929",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,"Ill, disabled - Male",Number,,,,,,,,,,,,,,,,,,,,,,,,,"161,950",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,"Ill, disabled - Total",Number,,,,,,,,,,,,,,,,,,,,,,,,,"312,879",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Other - Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,"543,720",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Other - Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,"1,066,839",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Other - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"1,610,559",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Own account worker - Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,"3,056,995",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Own account worker - Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,"5,657,550",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Own account worker - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"8,714,545",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,"Pensioner, retired, elderly - Female",Number,,,,,,,,,,,,,,,,,,,,,,,,,"1,380,377",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,"Pensioner, retired, elderly - Male",Number,,,,,,,,,,,,,,,,,,,,,,,,,"975,288",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,"Pensioner, retired, elderly - Total",Number,,,,,,,,,,,,,,,,,,,,,,,,,"2,355,665",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Sought work - Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,"387,177",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Sought work - Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,"567,329",,,,,,,,,,,,,,,
"MMR_MOIP/DOP, The 2014 Myanmar Population and Housing Census",Population (10 yr and over) by usual activity status,Sought work - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"954,506",,,,,,,,,,,,,,,
