month_of_implementation,donor,reporting_organization_type,implementing_partner_type,state,township,village_tract_town,village_ward,idp_camp_site_name,specify_location,location_combined,location_type,rural_or_urban,humanitarian_or_development,response_plan_if_project_under_fts,project_code,activity,activity_description,was_nutrition_mainstreamed_in_activity,fsc_objectives,hrp_indicator,activity_status,conditionality,frequency,delivery_modality,type_of_in_kind_assistance,unit,quantity,total_value,value_per_household,value_per_individual,currency,value_per_household_usd,cash_delivery_mechanism,food_insecurity_status,food_security_indicator_used,evidence,beneficiary_type,child_male,child_female,adult_male,adult_female,elderly_male,elderly_female,reached_households,reached_beneficiaries,new_beneficiaries,people_with_disability_male,people_with_disability_female,total_number_of_people_with_disability,comments,cluster_name,country,admin1_pcode,admin2_pcode,admin3_pcode,adm1_3,adm3_4,org_code,report_org_code,location,date,admin4_pcode,total_value_usd,admin3_pcode_old
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Tha Man Thar VT,NA,An Kho Wa,NA,"Tha Man Thar VTAn Kho Wafood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,3.3517499999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,Returnees,49.2,49.2,49.2,45.1,6.1499999999999995,6.1499999999999995,NA,205,205,2.05,3.0749999999999997,5.125,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Tha Man Thar VT,org_5034,org_2690,An Kho Wa,2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Yoke Wa VT,NA,Aut Mee Let Wa,NA,"Yoke Wa VTAut Mee Let Wafood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,4.7742000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,Returnees,70.08,70.08,70.08,64.24,8.76,8.76,NA,292,292,2.92,4.38,7.3,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Yoke Wa VT,org_5034,org_2690,Aut Mee Let Wa,2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Aut Thal Ma Wa VT,NA,Aut Thal Ma Wa,NA,"Aut Thal Ma Wa VTAut Thal Ma Wafood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,1.2426,NA,NA,NA,NA,NA,NA,NA,NA,NA,Returnees,18.24,18.24,18.24,16.72,2.28,2.28,NA,76,76,0.76,1.14,1.9,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Aut Thal Ma Wa VT,org_5034,org_2690,Aut Thal Ma Wa,2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Myoma ward,NA,Baw Lone Kwin Camp,NA,"Myoma wardBaw Lone Kwin Campfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,15.54885,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internally Displaced,228.24,228.24,228.24,209.22,28.53,28.53,NA,951,951,9.51,14.264999999999995,23.775,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Myoma ward,org_5034,org_2690,Baw Lone Kwin Camp,2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Myoma ward,NA,BEHS (1),NA,"Myoma wardBEHS (1)food distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,8.22405,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internally Displaced,120.72,120.72,120.72,110.66,15.09,15.09,NA,502.9999999999999,503,5.029999999999999,7.544999999999998,12.574999999999998,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Myoma ward,org_5034,org_2690,BEHS (1),2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Aut Thal Ma Wa VT,NA,Boung Wa,NA,"Aut Thal Ma Wa VTBoung Wafood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,2.2236,NA,NA,NA,NA,NA,NA,NA,NA,NA,Returnees,32.64,32.64,32.64,29.92,4.08,4.08,NA,136.00000000000003,136,1.3600000000000003,2.0400000000000005,3.400000000000001,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Aut Thal Ma Wa VT,org_5034,org_2690,Boung Wa,2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Samee (Quarter 2),NA,GAD Camp,NA,"Samee (Quarter 2)GAD Campfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,8.74725,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internally Displaced,128.4,128.4,128.4,117.7,16.05,16.05,NA,535,535,5.3500000000000005,8.025,13.375,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Samee (Quarter 2),org_5034,org_2690,GAD Camp,2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Kin Wa VT,NA,Kin Wa,NA,"Kin Wa VTKin Wafood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,0.6049500000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,Returnees,8.879999999999999,8.879999999999999,8.879999999999999,8.14,1.11,1.11,NA,37,37,0.37,0.5549999999999999,0.925,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Kin Wa VT,org_5034,org_2690,Kin Wa,2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Samee (Quarter 2),NA,Municipal Camp,NA,"Samee (Quarter 2)Municipal Campfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,7.7172,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internally Displaced,113.28,113.28,113.28,103.84,14.16,14.16,NA,472.0000000000001,472,4.7200000000000015,7.080000000000002,11.800000000000004,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Samee (Quarter 2),org_5034,org_2690,Municipal Camp,2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Myoma ward,NA,Myo Ma (Home),NA,"Myoma wardMyo Ma (Home)food distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,3.793200000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internally Displaced,55.68,55.68,55.68,51.04,6.96,6.96,NA,232,232,2.32,3.48,5.8,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Myoma ward,org_5034,org_2690,Myo Ma (Home),2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Samee (Quarter 1),NA,Myo Paing Kone,NA,"Samee (Quarter 1)Myo Paing Konefood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,6.850650000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internally Displaced,100.56,100.56,100.56,92.18,12.57,12.57,NA,419,419,4.19,6.285,10.475,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Samee (Quarter 1),org_5034,org_2690,Myo Paing Kone,2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Sein Sin VT,NA,Nga Pwi,NA,"Sein Sin VTNga Pwifood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,7.79895,NA,NA,NA,NA,NA,NA,NA,NA,NA,Returnees,114.48,114.48,114.48,104.94,14.31,14.31,NA,476.99999999999994,477,4.77,7.1549999999999985,11.924999999999995,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Sein Sin VT,org_5034,org_2690,Nga Pwi,2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Sein Sin VT,NA,Nga Pwi,NA,"Sein Sin VTNga Pwi food distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,2.20725,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internally Displaced,32.4,32.4,32.4,29.7,4.05,4.05,NA,135,135,1.35,2.025,3.375,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Sein Sin VT,org_5034,org_2690,Nga Pwi,2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Tha Man Thar VT,NA,Palet Chaung Wa,NA,"Tha Man Thar VTPalet Chaung Wafood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,1.4061,NA,NA,NA,NA,NA,NA,NA,NA,NA,Returnees,20.64,20.64,20.64,18.92,2.58,2.58,NA,86,86,0.86,1.29,2.15,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Tha Man Thar VT,org_5034,org_2690,Palet Chaung Wa,2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Samee (Quarter 2),NA,Pyan Kyaat Zay,NA,"Samee (Quarter 2)Pyan Kyaat Zayfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,4.43085,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internally Displaced,65.03999999999999,65.03999999999999,65.03999999999999,59.62,8.129999999999999,8.129999999999999,NA,271,271,2.71,4.0649999999999995,6.7749999999999995,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Samee (Quarter 2),org_5034,org_2690,Pyan Kyaat Zay,2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Samee (Quarter 2),NA,Pyin Pa Nay,NA,"Samee (Quarter 2)Pyin Pa Nayfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,9.85905,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internally Displaced,144.72,144.72,144.72,132.66,18.09,18.09,NA,603,603,6.03,9.045,15.075,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Samee (Quarter 2),org_5034,org_2690,Pyin Pa Nay,2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Myoma ward,NA,RC compound,NA,"Myoma wardRC compoundfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,1.8312,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internally Displaced,26.88,26.88,26.88,24.64,3.36,3.36,NA,112,112,1.12,1.68,2.8,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Myoma ward,org_5034,org_2690,RC compound,2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Tha Man Thar VT,NA,See Hpa Laung,NA,"Tha Man Thar VTSee Hpa Laungfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,2.50155,NA,NA,NA,NA,NA,NA,NA,NA,NA,Returnees,36.72,36.72,36.72,33.660000000000004,4.59,4.59,NA,153,153,1.53,2.295,3.825,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Tha Man Thar VT,org_5034,org_2690,See Hpa Laung,2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Sein Sin VT,NA,Sein Sin,NA,"Sein Sin VTSein Sinfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,2.2236,NA,NA,NA,NA,NA,NA,NA,NA,NA,Returnees,32.64,32.64,32.64,29.92,4.08,4.08,NA,136.00000000000003,136,1.3600000000000003,2.0400000000000005,3.400000000000001,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Sein Sin VT,org_5034,org_2690,Sein Sin,2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Sein Sin VT,NA,Sein Sin,NA,"Sein Sin VTSein Sin food distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,2.99205,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internally Displaced,43.92,43.92,43.92,40.26,5.49,5.49,NA,183,183,1.83,2.745,4.575,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Sein Sin VT,org_5034,org_2690,Sein Sin,2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Tha Man Thar VT,NA,Tha Man Thar,NA,"Tha Man Thar VTTha Man Tharfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,0.34335,NA,NA,NA,NA,NA,NA,NA,NA,NA,Returnees,5.04,5.04,5.04,4.62,0.63,0.63,NA,21,21,0.21,0.315,0.525,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Tha Man Thar VT,org_5034,org_2690,Tha Man Thar,2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Ywa Ma ward,NA,Vie Thu Da (IDP,NA,"Ywa Ma wardVie Thu Da (IDPfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,8.534699999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internally Displaced,125.28,125.28,125.28,114.84,15.66,15.66,NA,522.0000000000001,522,5.2200000000000015,7.830000000000002,13.050000000000004,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Ywa Ma ward,org_5034,org_2690,Vie Thu Da (IDP,2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Yeikha,NA,Yeikkha (Home),NA,"YeikhaYeikkha (Home)food distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,6.703499999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internally Displaced,98.4,98.4,98.4,90.2,12.3,12.3,NA,410,410,4.1,6.1499999999999995,10.25,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Yeikha,org_5034,org_2690,Yeikkha (Home),2022-01-01,NA,NA,MMR004009
January 2022,NA,UN agency,NNGO,Chin,Paletwa,Ywa Ma ward,NA,Ywar Ma (Home),NA,"Ywa Ma wardYwar Ma (Home)food distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,1.6023,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internally Displaced,23.52,23.52,23.52,21.56,2.94,2.94,NA,98,98,0.98,1.47,2.45,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Ywa Ma ward,org_5034,org_2690,Ywar Ma (Home),2022-01-01,NA,NA,MMR004009
March 2022,NA,UN agency,NNGO,Chin,Paletwa,Myoma ward,NA,Agricultural Camp,NA,"Myoma wardAgricultural Campfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,15.4998,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internally Displaced,227.52,227.52,227.52,208.56,28.44,28.44,NA,948,0,9.48,14.22,23.7,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Myoma ward,org_5034,org_2690,Agricultural Camp,2022-03-01,NA,NA,MMR004009
March 2022,NA,UN agency,NNGO,Chin,Paletwa,Tha Man Thar VT,NA,An Kho Wa,NA,"Tha Man Thar VTAn Kho Wafood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,3.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,Returnees,49.2,49.2,49.2,45.1,6.1499999999999995,6.1499999999999995,NA,205,0,2.05,3.0749999999999997,5.125,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Tha Man Thar VT,org_5034,org_2690,An Kho Wa,2022-03-01,NA,NA,MMR004009
March 2022,NA,UN agency,NNGO,Chin,Paletwa,Yoke Wa VT,NA,Aut Mee Let Wa,NA,"Yoke Wa VTAut Mee Let Wafood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,4.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,Returnees,70.56,70.56,70.56,64.68,8.82,8.82,NA,294,0,2.94,4.41,7.35,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Yoke Wa VT,org_5034,org_2690,Aut Mee Let Wa,2022-03-01,NA,NA,MMR004009
March 2022,NA,UN agency,NNGO,Chin,Paletwa,Aut Thal Ma Wa VT,NA,Aut Thal Ma Wa,NA,"Aut Thal Ma Wa VTAut Thal Ma Wafood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,1.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,Returnees,18.72,18.72,18.72,17.16,2.34,2.34,NA,78,0,0.78,1.17,1.95,NA,NA,NA,MMR004,NA,MMR004009,Chin-Paletwa,Paletwa-Aut Thal Ma Wa VT,org_5034,org_2690,Aut Thal Ma Wa,2022-03-01,NA,NA,MMR004009
